Country1,Happiness Rank1,Happiness Score1,Latitude1,Longitude1,Country2,Happiness Rank2,Happiness Score2,Latitude2,Longitude2,Latitude Distance,Longitude Distance,Distance,Rank Difference,Score Difference
Denmark,1,7.526,56.26392,9.501785,Botswana,137,3.9739999999999998,-22.328474,24.684866,78.592394,-15.183081,80.04555167717815,136,3.552
Denmark,1,7.526,56.26392,9.501785,Comoros,138,3.9560000000000004,-11.875001,43.872219,68.138921,-34.370434,76.31670386221221,137,3.5699999999999994
Denmark,1,7.526,56.26392,9.501785,Ivory Coast,139,3.9160000000000004,7.539989,-5.54708,-48.723931,15.048865,50.994997694685566,138,3.6099999999999994
Denmark,1,7.526,56.26392,9.501785,Cambodia,140,3.907,12.565679,104.990963,43.698240999999996,-95.489178,105.01294863782164,139,3.6189999999999998
Denmark,1,7.526,56.26392,9.501785,Angola,141,3.866,-11.202692,17.873887,67.466612,-8.372102,67.9840850983298,140,3.6599999999999997
Denmark,1,7.526,56.26392,9.501785,Niger,142,3.8560000000000003,17.607789,8.081666,38.656131,1.4201189999999997,38.682207820434996,141,3.6699999999999995
Denmark,1,7.526,56.26392,9.501785,Chad,144,3.763,15.454166,18.732207,40.809754,-9.230421999999999,41.84061079667217,143,3.763
Denmark,1,7.526,56.26392,9.501785,Burkina Faso,145,3.739,12.238333,-1.561593,44.025587,11.063378,45.39438999992679,144,3.787
Denmark,1,7.526,56.26392,9.501785,Uganda,145,3.739,1.373333,32.290275,54.890587,-22.788490000000003,59.43308689345245,144,3.787
Denmark,1,7.526,56.26392,9.501785,Yemen,147,3.7239999999999998,15.552727,48.516388,40.711192999999994,-39.014603,56.38741422277543,146,3.802
Denmark,1,7.526,56.26392,9.501785,Madagascar,148,3.695,-18.766947,46.869107,75.030867,-37.367322,83.82092672014176,147,3.831
Denmark,1,7.526,56.26392,9.501785,Tanzania,149,3.6660000000000004,-6.369028,34.888822,62.632948,-25.387037,67.58245203312819,148,3.8599999999999994
Denmark,1,7.526,56.26392,9.501785,Liberia,150,3.622,6.4280550000000005,-9.429499,-49.835865,18.931283999999998,53.31047696454122,149,3.904
Denmark,1,7.526,56.26392,9.501785,Guinea,151,3.6069999999999998,9.945587,-9.696645,-46.318332999999996,19.198430000000002,50.139482310488496,150,3.919
Denmark,1,7.526,56.26392,9.501785,Rwanda,152,3.515,-1.940278,29.873888,58.204198,-20.372103000000003,61.66645153943766,151,4.010999999999999
Denmark,1,7.526,56.26392,9.501785,Benin,153,3.484,9.30769,2.315834,-46.95623,7.185950999999999,47.50289914928668,152,4.042
Denmark,1,7.526,56.26392,9.501785,Afghanistan,154,3.36,33.93911,67.709953,22.32481,-58.208168,62.34250527090104,153,4.166
Denmark,1,7.526,56.26392,9.501785,Togo,155,3.303,8.619543,0.824782,-47.644377,8.677003,48.42806046890726,154,4.223
Denmark,1,7.526,56.26392,9.501785,Syria,156,3.069,34.802075,38.99681500000001,21.461844999999997,-29.495030000000014,36.47694594541771,155,4.457
Denmark,1,7.526,56.26392,9.501785,Burundi,157,2.905,-3.373056,29.918886,59.636976,-20.417101000000002,63.03512449157832,156,4.621
